Time, HInput, VInput, Distance
18.16384, 0, 1, 0
18.18053, 0, 1, 0
18.19712, 0, 1, 0
18.21374, 0, 1, 0
18.23043, 0, 1, 0
18.24725, 0, 1, 0
18.26407, 0, 1, 0
18.28034, 0, 1, 0
18.29705, 0, 1, 0
18.31369, 0, 1, 0
18.33038, 0, 1, 0
18.34697, 0, 1, 0
18.36382, 0, 1, 0
18.3804, 0, 1, 0
18.39696, 0, 1, 0
18.41369, -0.05019878, 1, 0
18.43039, -0.1003094, 1, 0
18.44709, -0.1503983, 1, 0
18.46362, -0.1999944, 1, 0
18.4803, -0.2500275, 1, 0
18.49714, -0.3005452, 1, 0
18.51347, -0.3495301, 1, 0
18.53063, -0.4010231, 1, 0
18.54742, -0.4514057, 1, 0
18.56402, -0.5012042, 1, 0
18.58072, -0.55128, 1, 0
18.5971, -0.5021138, 1, 0
18.61397, -0.451515, 1, 0
18.63078, -0.4010876, 1, 0
18.64733, -0.3514468, 1, 0
18.66417, -0.3009225, 1, 0
18.68076, -0.2511364, 1, 0
18.69713, -0.2020391, 1, 0
18.71385, -0.1518703, 1, 0
18.73038, -0.1022777, 1, 0
18.74733, -0.05143493, 1, 0
18.76427, -0.0006031245, 1, 0
18.78049, 0, 1, 0
18.7974, 0, 1, 0
18.81454, 0, 1, 0
18.83075, 0, 1, 0
18.84726, 0, 1, 0
18.86407, 0, 1, 0
18.88034, 0, 1, 0
18.8974, 0, 1, 0
18.9137, 0, 1, 0
18.93046, 0, 1, 0
18.94725, 0, 1, 0
18.96408, 0, 1, 0
18.98211, 0, 1, 0
18.99764, 0, 1, 0
19.01456, 0, 1, 0
19.03052, 0, 1, 0
19.04735, 0, 1, 0
19.06468, 0, 1, 0
19.08066, 0, 1, 0
19.09749, 0, 1, 0
19.11406, 0, 1, 0
19.13087, 0, 1, 0
19.14719, 0, 1, 0
19.16399, -0.05038949, 1, 0
19.18072, -0.1005753, 1, 0
19.19746, -0.1507853, 1, 0
19.21447, -0.201823, 1, 0
19.23111, -0.2517379, 1, 0
19.24772, -0.3015903, 1, 0
19.26455, -0.3520621, 1, 0
19.28075, -0.400679, 1, 0
19.29779, -0.4517984, 1, 0
19.31425, -0.501168, 1, 0
19.33104, -0.5515313, 1, 0
19.34769, -0.6014769, 1, 0
19.37548, -0.6848438, 1, 0
19.38169, -0.7034942, 1, 0
19.39839, -0.6533908, 1, 0
19.41479, -0.6041924, 1, 0
19.43175, -0.5533298, 1, 0
19.44842, -0.503301, 1, 0
19.46499, -0.4536087, 1, 0
19.48149, -0.4041139, 1, 0
19.49827, -0.3537714, 1, 0
19.51534, -0.3025448, 1, 0
19.53157, -0.2538602, 1, 0
19.54824, -0.2038603, 1, 0
19.5647, -0.1544681, 1, 0
19.58218, -0.102025, 1, 0
19.59822, -0.05392751, 1, 0
19.61493, -0.00379885, 1, 0
19.63145, 0, 1, 0
19.64805, 0, 1, 0
19.66481, 0, 1, 0
19.68133, 0, 1, 0
19.69814, 0, 1, 0
19.71494, 0, 1, 0
19.73162, 0, 1, 0
19.74817, 0, 1, 0
19.76485, 0, 1, 0
19.78166, 0, 1, 0
19.79836, 0, 1, 0
19.81511, 0, 1, 0
19.83177, 0, 1, 0
